FemaleWeight,MaleWeight,FemaleHeight,MaleHeight,ReportFW,ReportMW,ReportFH,ReportMH
58,77,161,182,51,77,159,180
53,68,161,177,54,70,158,175
59,76,157,170,59,76,155,165
166,76,57,167,56,77,163,165
51,69,161,186,52,73,158,180
64,71,168,178,64,71,165,175
52,65,163,171,57,64,160,170
65,70,166,175,66,75,165,174
62,92,168,187,62,101,165,185
61,76,175,197,61,75,171,200
61,119,170,180,61,124,170,178
54,65,171,175,59,66,168,173
50,66,166,173,50,70,165,170
63,101,169,183,61,100,168,180
58,75,166,178,60,73,160,175
39,79,157,173,41,76,153,173
71,64,166,176,71,65,165,175
52,69,164,174,52,69,161,171
68,88,169,178,63,86,170,175
56,65,166,187,54,67,165,188
54,80,164,178,53,80,160,178
63,78,163,183,59,80,159,180
54,85,160,179,55,82,158,175
49,73,161,180,NA,NA,NA,NA
54,82,174,182,56,85,173,183
75,74,162,169,75,73,158,170
56,102,165,185,57,107,163,185
66,64,170,177,65,NA,NA,NA
78,65,173,176,75,64,169,172
60,73,162,183,59,74,160,180
64,75,165,172,63,70,163,169
64,57,164,173,62,58,161,170
52,68,158,165,51,69,155,165
62,71,175,177,61,71,171,170
55,71,165,180,54,76,163,175
56,97,163,189,57,98,159,185
50,80,166,178,50,76,161,175
50,66,171,173,NA,66,NA,175
50,69,160,182,55,70,150,180
63,69,160,183,64,70,158,183
61,55,165,168,60,56,163,170
53,59,169,182,52,61,175,183
60,62,167,178,55,66,163,175
56,70,170,173,56,68,170,170
53,84,165,184,53,86,165,183
57,69,163,180,59,71,160,180
57,88,162,189,56,87,160,185
56,103,161,185,56,101,161,182
56,63,165,178,57,63,160,175
50,84,169,183,50,90,165,183
52,79,159,179,52,79,153,171
55,67,155,179,NA,67,154,179
55,83,164,184,55,83,163,181
47,96,163,184,47,94,160,183
45,75,163,169,45,76,160,165
62,65,175,178,63,66,173,178
53,78,164,178,51,77,160,175
52,69,152,167,51,73,150,165
57,67,167,179,55,NA,164,NA
64,87,166,185,64,89,165,185
59,83,166,177,55,84,163,175
55,90,174,188,57,91,171,185
76,85,167,191,77,83,165,188
62,66,168,175,62,68,163,175
68,88,178,184,68,86,175,183
55,54,165,169,55,58,163,165
52,69,169,172,56,68,NA,174
47,56,153,163,NA,58,154,161
45,96,157,191,45,95,153,188
68,76,171,169,68,75,169,165
44,61,157,170,44,61,155,170
62,82,166,176,61,NA,163,NA
56,62,160,168,53,64,158,168
50,71,148,178,47,68,148,178
53,66,162,170,53,67,160,165
64,81,172,178,62,82,168,175
62,68,167,174,NA,68,NA,173
52,80,163,176,53,78,160,175
53,82,165,181,55,NA,163,NA
54,70,176,173,55,70,176,173
64,76,171,183,66,75,171,180
55,88,160,185,55,93,155,188
55,89,165,173,55,86,165,173
59,74,157,175,55,71,158,175
70,83,173,180,67,80,170,180
57,81,168,175,58,NA,165,NA
47,90,162,181,47,91,160,178
47,79,150,177,45,81,152,178
55,,162,,NA,,NA,
48,,163,,44,,160,
59,,170,,NA,,NA,
58,,169,,NA,,NA,
57,,167,,56,,165,
51,,163,,50,,160,
54,,161,,54,,160,
53,,162,,52,,158,
59,,172,,58,,171,
59,,159,,59,,155,
63,,170,,62,,168,
66,,166,,66,,165,
53,,158,,50,,155,
54,,163,,NA,,NA,
60,,174,,NA,,NA,
43,,154,,NA,,NA,
63,,165,,59,,160,
56,,162,,56,,160,
60,,172,,55,,168,
58,,169,,54,,166,
50,,158,,49,,155,
59,,164,,59,,165,
51,,156,,51,,158,
62,,164,,61,,161,
