FemaleHeight,MaleHeight,AllHeight
172,183,172
160,160,160
162,178,162
160,179,160
173,171,173
173,175,173
165,184,165
165,172,165
163,173,163
168,187,168
150,186,150
160,179,160
153,165,153
160,181,160
46,174,46
177,185,177
173,185,173
171,175,171
157,190,157
163,186,163
165,188,165
197,174,197
152,187,152
175,180,175
157,180,157
175,174,175
154,180,154
163,189,163
164,175,164
175,185,175
173,175,173
172,194,172
162,182,162
167,186,167
163,178,163
156,181,156
170,172,170
165,180,165
177,175,177
162,195,162
167,183,167
165,176,165
164,182,164
167,162,167
170,165,170
168,180,168
168,171,168
155,178,155
,192,183
,183,160
,185,178
,175,179
,,171
,,175
,,184
,,172
,,173
,,187
,,186
,,179
,,165
,,181
,,174
,,185
,,185
,,175
,,190
,,186
,,188
,,174
,,187
,,180
,,180
,,174
,,180
,,189
,,175
,,185
,,175
,,194
,,182
,,186
,,178
,,181
,,172
,,180
,,175
,,195
,,183
,,176
,,182
,,162
,,165
,,180
,,171
,,178
,,192
,,183
,,185
,,175
